GroupID,GroupSize,nfemales,nmales,SexRatiomf,CaptureStart,CompleteCapture,SessRef,Location
Kuruman 1,18,9,9,0.5,2013-11-17,1,133,Kuruman
Kuruman 10,4,1,3,0.75,2013-11-30,1,135,Kuruman
Kuruman 7,17,10,7,0.4117647058823529,2013-12-03,1,147,Kuruman
Kuruman 13,26,12,14,0.5384615384615384,2014-01-22,1,139,Kuruman
Lonely 13,10,5,5,0.5,2014-03-01,1,7,Lonely
Lonely 14,13,5,8,0.6153846153846154,2014-03-01,1,8,Lonely
Lonely 66,6,5,1,0.16666666666666666,2014-03-09,1,23,Lonely
Lonely 18,14,9,5,0.35714285714285715,2014-03-11,1,12,Lonely
Lonely 43,4,1,3,0.75,2014-03-15,1,26,Lonely
Lonely 46,7,4,3,0.42857142857142855,2014-03-31,1,28,Lonely
Kuruman 1,10,7,3,0.3,2014-07-27,1,134,Kuruman
Kuruman 10,5,2,3,0.6,2014-07-27,1,136,Kuruman
Kuruman 13,21,10,11,0.5238095238095238,2014-08-05,1,140,Kuruman
Kuruman 7,6,4,2,0.3333333333333333,2014-08-06,1,148,Kuruman
Lonely 13,8,4,4,0.5,2014-09-16,1,38,Lonely
Lonely 14,8,4,4,0.5,2014-09-16,1,39,Lonely
Lonely 18,9,7,2,0.2222222222222222,2014-09-30,1,41,Lonely
Lonely 15,3,2,1,0.3333333333333333,2014-10-09,1,44,Lonely
Lonely 16,8,4,4,0.5,2014-10-09,1,45,Lonely
Lonely 14,8,6,2,0.25,2015-01-29,1,87,Lonely
Kuruman 13,23,10,13,0.5652173913043478,2015-02-10,1,81,Kuruman
Kuruman 1,10,7,3,0.3,2015-02-16,1,82,Kuruman
Kuruman 10,5,2,3,0.6,2015-02-16,1,84,Kuruman
Kuruman 7,5,3,2,0.4,2015-03-03,1,93,Kuruman
Lonely 15,3,2,1,0.3333333333333333,2015-03-23,1,98,Lonely
Lonely 13,8,4,4,0.5,2015-03-26,1,101,Lonely
Kuruman 13,22,14,8,0.3636363636363637,2015-09-20,1,156,Kuruman
Kuruman 10,5,2,3,0.6,2015-10-07,1,160,Kuruman
Kuruman 1,7,5,2,0.2857142857142857,2015-10-14,1,166,Kuruman
Lonely 14,12,8,4,0.3333333333333333,2016-02-08,0,200,Lonely
Lonely 62,6,4,2,0.3333333333333333,2016-02-08,1,201,Lonely
Lonely 13,12,5,7,0.5833333333333334,2016-02-22,0,203,Lonely
Lonely 15,7,4,3,0.42857142857142855,2016-02-24,1,204,Lonely
Lonely 18,5,4,1,0.2,2016-02-29,1,205,Lonely
Lonely 46,10,8,2,0.2,2016-02-29,1,207,Lonely
Kuruman 13,24,11,13,0.5416666666666666,2016-04-12,1,216,Kuruman
Kuruman 10,10,4,6,0.6,2016-04-25,1,174,Kuruman
Kuruman 1,9,7,2,0.2222222222222222,2016-04-26,1,175,Kuruman
Kuruman 1,8,6,2,0.25,2016-06-07,0,226,Kuruman
Kuruman 13,10,3,7,0.7,2016-06-10,0,227,Kuruman
Kuruman 27,3,1,2,0.6666666666666666,2016-07-25,1,251,Kuruman
Lonely 14,9,3,6,0.6666666666666666,2016-09-09,1,238,Lonely
Lonely 15,8,5,3,0.375,2016-09-09,1,239,Lonely
Lonely 62,6,4,2,0.3333333333333333,2016-09-09,1,240,Lonely
Lonely 13,8,5,3,0.375,2016-09-10,1,241,Lonely
Lonely 16,9,4,5,0.5555555555555556,2016-09-16,1,243,Lonely
Lonely 18,3,2,1,0.3333333333333333,2016-09-16,1,242,Lonely
Lonely 46,10,6,4,0.4,2016-09-16,1,245,Lonely
Lonely 49,10,4,6,0.6,2016-09-16,1,244,Lonely
Lonely 10,3,2,1,0.3333333333333333,2016-09-22,0,249,Lonely
Lonely 25,3,1,2,0.6666666666666666,2016-09-22,0,247,Lonely
Lonely 40,10,4,6,0.6,2016-09-22,0,248,Lonely
Lonely 48,6,1,5,0.8333333333333334,2016-09-22,1,246,Lonely
Lonely 20,11,5,6,0.5454545454545454,2016-10-06,1,255,Lonely
Lonely 26,10,6,4,0.4,2016-10-06,1,256,Lonely
Kuruman 20,7,1,6,0.8571428571428571,2017-01-17,1,260,Kuruman
Kuruman 13,13,2,11,0.8461538461538461,2017-01-23,1,263,Kuruman
Kuruman 16,4,1,3,0.75,2017-01-30,0,266,Kuruman
Kuruman 26,5,2,3,0.6,2017-01-30,1,265,Kuruman
Kuruman 27,11,4,7,0.6363636363636364,2017-02-05,1,267,Kuruman
Kuruman 8,12,5,7,0.5833333333333334,2017-02-06,1,271,Kuruman
Kuruman 19,8,3,5,0.625,2017-02-13,1,273,Kuruman
Kuruman 10,11,1,10,0.9090909090909092,2017-02-20,1,275,Kuruman
Kuruman 11,7,4,3,0.42857142857142855,2017-02-20,1,276,Kuruman
Kuruman 1,4,3,1,0.25,2017-05-03,1,283,Kuruman
Kuruman 36,14,8,6,0.42857142857142855,2017-05-08,1,285,Kuruman
Kuruman 31,3,1,2,0.6666666666666666,2017-05-15,1,286,Kuruman
Kuruman 28,3,1,2,0.6666666666666666,2017-05-23,1,289,Kuruman
Lonely 11,6,2,4,0.6666666666666666,2017-05-30,1,293,Lonely
Lonely 14,13,5,8,0.6153846153846154,2017-05-30,1,292,Lonely
Lonely 54,5,1,4,0.8,2017-05-30,1,295,Lonely
Lonely 13,10,5,5,0.5,2017-06-05,1,297,Lonely
Lonely 15,10,5,5,0.5,2017-06-05,1,298,Lonely
Lonely 62,6,3,3,0.5,2017-06-05,1,296,Lonely
Lonely 10,8,6,2,0.25,2017-06-21,1,299,Lonely
Lonely 25,6,1,5,0.8333333333333334,2017-06-21,1,304,Lonely
Lonely 40,12,4,8,0.6666666666666666,2017-06-21,1,303,Lonely
Lonely 48,11,4,7,0.6363636363636364,2017-06-21,1,305,Lonely
Lonely 16,12,5,7,0.5833333333333334,2017-06-27,1,308,Lonely
Lonely 18,7,3,4,0.5714285714285714,2017-06-27,1,307,Lonely
Lonely 46,12,7,5,0.4166666666666667,2017-06-27,0,306,Lonely
Lonely 23,7,2,5,0.7142857142857143,2017-07-04,1,309,Lonely
Lonely 19,3,2,1,0.3333333333333333,2017-07-13,1,313,Lonely
Lonely 26,10,4,6,0.6,2017-07-13,1,315,Lonely
Lonely 65,3,2,1,0.3333333333333333,2017-07-13,1,316,Lonely
Lonely 20,10,5,5,0.5,2017-07-20,0,317,Lonely
Kuruman 19,7,3,4,0.5714285714285714,2017-08-01,1,326,Kuruman
Kuruman 20,10,2,8,0.8,2017-08-01,1,325,Kuruman
Kuruman 26,9,5,4,0.4444444444444444,2017-08-07,1,328,Kuruman
Kuruman 27,12,6,6,0.5,2017-08-07,1,329,Kuruman
Kuruman 8,11,5,6,0.5454545454545454,2017-08-14,1,335,Kuruman
Kuruman 10,12,3,9,0.75,2017-08-19,1,337,Kuruman
Kuruman 11,11,6,5,0.4545454545454546,2017-08-19,1,338,Kuruman
Kuruman 1,4,3,1,0.25,2017-10-09,1,348,Kuruman
