AnimalID,SessRef,Sex,GroupID,GroupSize,SexRatiomf,CaptureStart,SessRef2,DateofCapture,DateofCapture2,weight,weight1,rate,timediff,TeethWidth,massindex
KR10F005,136,Female,Kuruman 10,5,0.6,2014-07-27,84,2014-07-28,2015-02-16,28,70,0.206896551724138,203,2.295,123.02028348488729
KR10F005,84,Female,Kuruman 10,5,0.6,2015-02-16,160,2015-02-16,2015-10-08,70,111,0.175213675213675,234,4.605,82.02905378900878
KR10F005,160,Female,Kuruman 10,5,0.6,2015-10-07,174,2015-10-08,2016-04-26,111,113,0.00995024875621891,201,5.555,91.12085646575532
KR10F015,275,Male,Kuruman 10,11,0.9090909090909092,2017-02-20,358,2017-02-20,2018-03-18,102,125,0.0588235294117647,391,5.02,101.47424512447888
KR10F022,337,Female,Kuruman 10,12,0.75,2017-08-19,399,2017-08-20,2018-10-04,61,124,0.153658536585366,410,4.0600000000000005,90.78408065152011
KR10F022,454,Female,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-09,2019-10-06,112,130,0.0989010989010989,27,6.220000000000001,74.18643597757736
KR10F024,337,Female,Kuruman 10,12,0.75,2017-08-19,358,2017-08-21,2018-03-18,60,97,0.177033492822967,209,4.1850000000000005,84.30235131735328
KR10F024,358,Female,Kuruman 10,17,0.8823529411764706,2018-03-17,399,2018-03-18,2018-10-04,97,106,0.045,200,5.285,87.52471197216109
KR10F024,428,Female,Kuruman 10,20,0.8,2019-03-12,454,2019-03-13,2019-09-10,111,101,-0.0552486187845304,181,6.115,75.93828783116308
KR10F024,454,Female,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-10,2019-10-09,101,120,0.104972375690608,29,5.885,74.31143368017165
KR10M002,136,Male,Kuruman 10,5,0.6,2014-07-27,84,2014-07-27,2015-02-17,92,103,0.0536585365853659,205,5.295,82.71586877749903
KR10M006,136,Male,Kuruman 10,5,0.6,2014-07-27,84,2014-07-28,2015-02-16,29,82,0.261083743842365,203,2.375,119.39259277258438
KR10M006,84,Male,Kuruman 10,5,0.6,2015-02-16,160,2015-02-16,2015-10-07,82,121,0.167381974248927,233,5.02,81.57733431575753
KR10M006,160,Male,Kuruman 10,5,0.6,2015-10-07,174,2015-10-07,2016-04-26,121,146,0.123762376237624,202,5.77,92.42384633767622
KR10M007,160,Male,Kuruman 10,5,0.6,2015-10-07,174,2015-10-07,2016-04-26,57,101,0.217821782178218,202,3.78,97.15114432856852
KR10M014,275,Male,Kuruman 10,11,0.9090909090909092,2017-02-20,337,2017-02-20,2017-08-19,102,122,0.111111111111111,180,5.46,86.51897039508056
KR10M014,337,Male,Kuruman 10,12,0.75,2017-08-19,358,2017-08-19,2018-03-17,122,150,0.133333333333333,210,5.885,89.76232583149446
KR10M014,358,Male,Kuruman 10,17,0.8823529411764706,2018-03-17,399,2018-03-17,2018-10-02,150,141,-0.0452261306532663,199,6.555,89.94232158455242
KR10M014,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-14,2019-09-09,151,134,-0.0949720670391061,179,6.49,92.27051844320091
KR10M014,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-09,2019-10-07,134,145,0.0594594594594595,28,6.4399999999999995,83.0930713745338
KR10M016,275,Male,Kuruman 10,11,0.9090909090909092,2017-02-20,337,2017-02-21,2017-08-19,93,118,0.139664804469274,179,5.095000000000001,89.95320059730771
KR10M016,337,Male,Kuruman 10,12,0.75,2017-08-19,358,2017-08-19,2018-03-18,118,147,0.137440758293839,211,5.48,99.39849622971636
KR10M016,358,Male,Kuruman 10,17,0.8823529411764706,2018-03-17,399,2018-03-18,2018-10-03,147,131,-0.0804020100502513,199,6.16,99.17733906062864
KR10M016,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-13,2019-09-09,146,119,-0.15,180,6.255000000000001,95.68300722489924
KR10M018,275,Male,Kuruman 10,11,0.9090909090909092,2017-02-20,337,2017-02-21,2017-08-19,48,92,0.245810055865922,179,3.455,97.03022474752368
KR10M018,337,Male,Kuruman 10,12,0.75,2017-08-19,358,2017-08-19,2018-03-18,92,143,0.241706161137441,211,5.3100000000000005,82.27301674058569
KR10M019,275,Male,Kuruman 10,11,0.9090909090909092,2017-02-20,337,2017-02-22,2017-08-19,92,134,0.235955056179775,178,4.7,103.71185323321195
KR10M019,337,Male,Kuruman 10,12,0.75,2017-08-19,358,2017-08-19,2018-03-17,134,174,0.19047619047619,210,5.845000000000001,99.87571836350286
KR10M020,275,Male,Kuruman 10,11,0.9090909090909092,2017-02-20,337,2017-02-23,2017-08-22,83,123,0.222222222222222,180,4.73,92.44316784373622
KR10M020,337,Male,Kuruman 10,12,0.75,2017-08-19,358,2017-08-22,2018-03-18,123,170,0.225961538461538,208,5.720000000000001,95.51610834538609
KR10M021,275,Male,Kuruman 10,11,0.9090909090909092,2017-02-20,337,2017-02-23,2017-08-19,75,130,0.310734463276836,177,4.69,84.89013384346477
KR10M021,337,Male,Kuruman 10,12,0.75,2017-08-19,358,2017-08-19,2018-03-17,130,177,0.223809523809524,210,5.74,100.28551953616903
KR10M023,337,Male,Kuruman 10,12,0.75,2017-08-19,358,2017-08-21,2018-03-18,52,113,0.291866028708134,209,3.995,79.79663120404834
KR10M023,358,Male,Kuruman 10,17,0.8823529411764706,2018-03-17,399,2018-03-18,2018-10-05,113,140,0.134328358208955,201,5.54,93.23988013963364
KR10M023,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-13,2019-09-09,143,124,-0.105555555555556,180,6.335,91.48377884050292
KR10M023,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-09,2019-10-07,124,144,0.108108108108108,28,5.68,97.58358176424322
KR10M025,337,Male,Kuruman 10,12,0.75,2017-08-19,358,2017-08-21,2018-03-19,24,84,0.285714285714286,210,2.04,131.85642857612328
KR10M025,358,Male,Kuruman 10,17,0.8823529411764706,2018-03-17,399,2018-03-19,2018-10-06,84,96,0.0597014925373134,201,4.955,85.65958210337097
KR10M025,428,Male,Kuruman 10,20,0.8,2019-03-12,454,2019-03-14,2019-09-10,112,108,-0.0222222222222222,180,5.765000000000001,85.69020305116786
KR10M025,454,Male,Kuruman 10,19,0.8421052631578947,2019-09-09,468,2019-09-10,2019-10-06,108,121,0.0710382513661202,26,5.875,79.71859665137146
