AnimalID	GroupID	Location	TrappingPeriod	DateofCapture	CaptureStart	CaptureEnd	GroupSize	Sex	weight	Rainfall	firstcapturedate	censor	Time.days	Time.years	statecode	state	id	SessRef	SexRatiomf	ScaledWeight	Scale_sexratio	Rainfall.s
KR10F005	Kuruman 10	KRR	2	0028-07-20	2014-07-27	0028-07-20	5	Female	28	15.72555258	2014-07-27	NA	0	0	ingroupnonbreeder	1	21	136	0.6	-1.587338662746164	0.09999999999999998	-0.7982932089696793
KR10F005	Kuruman 10	KRR	3	0016-02-20	2015-02-16	0018-02-20	5	Female	70	60.89109671	2014-07-27	NA	204	0.558521561	ingroupnonbreeder	1	21	84	0.6	-0.20768155926129914	0.09999999999999998	-0.046377143766781787
KR10F005	Kuruman 10	KRR	4	0008-10-20	2015-10-07	0009-10-20	5	Female	111	7.452079085	2014-07-27	NA	438	1.199178645	ingroupnonbreeder	1	21	160	0.6	1.1391265655691643	0.09999999999999998	-0.9360300115644865
KR10F005	Kuruman 10	KRR	5	0026-04-20	2016-04-25	0027-04-20	10	Female	113	116.8075972	2014-07-27	NA	639	1.749486653	ingroupnonbreeder	1	21	174	0.6	1.2048245228779675	0.09999999999999998	0.8845208635137228
KR10F005	NA	KRR	NA	0025-07-20	2016-07-25	NA	NA	Female	NA	NA	2014-07-27	NA	729	1.995893224	Disappeared	2	21	NA	NA	NA	NA	NA
KR10F008	Kuruman 10	KRR	5	0026-04-20	2016-04-25	0027-04-20	10	Female	26	116.8075972	2016-04-25	NA	0	0	ingroupnonbreeder	1	61	174	0.6	-1.6530366200549673	0.09999999999999998	0.8845208635137228
KR10F008	NA	KRR	NA	0025-07-20	2016-07-25	NA	NA	Female	NA	NA	2016-04-25	NA	91	0.249144422	Disappeared	2	61	NA	NA	NA	NA	NA
KR10F010	Kuruman 10	KRR	5	0026-04-20	2016-04-25	0027-04-20	10	Female	60	116.8075972	2016-04-25	NA	0	0	ingroupnonbreeder	1	62	174	0.6	-0.5361713458053147	0.09999999999999998	0.8845208635137228
KR10F010	NA	KRR	NA	0025-07-20	2016-07-25	NA	NA	Female	NA	NA	2016-04-25	NA	91	0.249144422	Disappeared	2	62	NA	NA	NA	NA	NA
KR10F022	Kuruman 10	KRR	8	0020-08-20	2017-08-19	0022-08-20	12	Female	61	1.34743409	2017-08-19	NA	0	0	ingroupnonbreeder	1	126	337	0.75	-0.503322367150913	0.25	-1.0376601531363236
KR10F022	Kuruman 10	KRR	10	0004-10-20	2018-10-02	0010-10-20	16	Female	124	11.76823613	2017-08-19	NA	411	1.125256674	ingroupnonbreeder	1	126	399	0.8125	1.5661632880763845	0.3125	-0.8641746208105754
KR10F022	Kuruman 10	KRR	11	0016-03-20	2019-03-12	0017-03-20	20	Female	127	69.35182863	2017-08-19	NA	574	1.571526352	ingroupnonbreeder	1	126	428	0.8	1.664710224039589	0.30000000000000004	0.09447713744616895
KR10F022	Kuruman 10	KRR	12	0009-09-20	2019-09-09	0010-09-20	19	Female	112	0.397720048	2017-08-19	NA	751	2.056125941	ingroupnonbreeder	1	126	454	0.8421052631578947	1.171975544223566	0.3421052631578947	-1.0534709943269704
KR10F022	Kuruman 10	KRR	13	0009-03-20	2020-03-08	0012-03-20	16	Female	130	165.6746387	2017-08-19	NA	933	2.554414784	ingroupnonbreeder	1	126	503	0.8125	1.7632571600027938	0.3125	1.6980594640235869
KR10F022	Kuruman 10	KRR	NA	0027-05-20	2020-05-27	NA	NA	Female	NA	64.81177172	2017-08-19	99	1012	2.770704997	ingroupnonbreeder	99	126	NA	NA	NA	NA	0.018894261310797827
KR10F024	Kuruman 10	KRR	8	0021-08-20	2017-08-19	0022-08-20	12	Female	60	1.34743409	2017-08-19	NA	0	0	ingroupnonbreeder	1	127	337	0.75	-0.5361713458053147	0.25	-1.0376601531363236
KR10F024	Kuruman 10	KRR	9	0018-03-20	2018-03-17	0020-03-20	17	Female	97	121.7158381	2017-08-19	NA	211	0.577686516	ingroupnonbreeder	1	127	358	0.8823529411764706	0.6792408644075427	0.38235294117647056	0.9662332674199685
KR10F024	Kuruman 10	KRR	10	0004-10-20	2018-10-02	0010-10-20	16	Female	106	11.76823613	2017-08-19	NA	411	1.125256674	ingroupnonbreeder	1	127	399	0.8125	0.9748816722971566	0.3125	-0.8641746208105754
KR10F024	Kuruman 10	KRR	11	0013-03-20	2019-03-12	0017-03-20	20	Female	111	69.35182863	2017-08-19	NA	571	1.563312799	ingroupnonbreeder	1	127	428	0.8	1.1391265655691643	0.30000000000000004	0.09447713744616895
KR10F024	Kuruman 10	KRR	12	0010-09-20	2019-09-09	0010-09-20	19	Female	101	0.397720048	2017-08-19	NA	752	2.058863792	ingroupnonbreeder	1	127	454	0.8421052631578947	0.8106367790251489	0.3421052631578947	-1.0534709943269704
KR10F024	Kuruman 10	KRR	13	0009-03-20	2020-03-08	0012-03-20	16	Female	120	165.6746387	2017-08-19	NA	933	2.554414784	ingroupnonbreeder	1	127	503	0.8125	1.4347673734587783	0.3125	1.6980594640235869
KR10F024	Kuruman 10	KRR	NA	0027-05-20	2020-05-27	NA	NA	Female	NA	64.81177172	2017-08-19	99	1012	2.770704997	ingroupnonbreeder	99	127	NA	NA	NA	NA	0.018894261310797827
KR10F036	Kuruman 10	KRR	11	0015-03-20	2019-03-12	0017-03-20	20	Female	27	69.35182863	2019-03-12	NA	0	0	ingroupnonbreeder	1	162	428	0.8	-1.6201876414005658	0.30000000000000004	0.09447713744616895
KR10F036	NA	KRR	NA	0009-09-20	2019-09-09	NA	NA	Female	NA	NA	2019-03-12	NA	181	0.495550992	Disappeared	2	162	NA	NA	NA	NA	NA
