Sex,Time,Exptype,Exp,l95ci,u95ci
Female,0,MaleBiased,100,100,100
Female,0,FemaleBiased,100,100,100
Female,0.4788501027,MaleBiased,83.25571988780466,73.96591225461101,89.43470537208272
Female,0.4788501027,FemaleBiased,80.21020461242279,76.07352456569588,84.16789789178799
Female,0.9577002054,MaleBiased,69.31514894036593,54.70956232609259,79.98566524991766
Female,0.9577002054,FemaleBiased,64.3367692396673,57.871811403461805,70.84235111092184
Female,1.4365503081,MaleBiased,57.708826241605664,40.46642770724572,71.53494405617363
Female,1.4365503081,FemaleBiased,51.60465424815944,44.02512667221227,59.626519019691514
Female,1.9154004108,MaleBiased,48.04589872625113,29.931363344689732,63.97706645473569
Female,1.9154004108,FemaleBiased,41.39219876198203,33.49146556272095,50.18638925199236
Female,2.3942505135,MaleBiased,40.000958861105936,22.139006869148627,57.2177008895095
Female,2.3942505135,FemaleBiased,33.20076732056652,25.478138291048587,42.240830665276036
Female,2.8731006162,MaleBiased,33.303086261838345,16.375319246151232,51.17248221122919
Female,2.8731006162,FemaleBiased,26.63040340072081,19.38211780007212,35.55322112166357
Female,3.3519507189,MaleBiased,27.72672421215008,12.112155020369688,45.76595869721234
Female,3.3519507189,FemaleBiased,21.36030105683177,14.744660153611678,29.924400769211992
Female,3.8308008216,MaleBiased,23.084083844131786,8.958866606124502,40.93065032157976
Female,3.8308008216,FemaleBiased,17.133141183514255,11.216782670850415,25.18674096843241
Female,4.3096509243,MaleBiased,19.21882018393633,6.626507963549431,36.60620652200156
Female,4.3096509243,FemaleBiased,13.742527599832062,8.533001926470865,21.199152233666616
Female,4.788501027,MaleBiased,16.0007670980789,4.901357523931392,32.7386529508676
Female,4.788501027,FemaleBiased,11.022909506743982,6.491355321757898,17.84288252328925
Male,0,MaleBiased,100,100,100
Male,0,FemaleBiased,100,100,100
Male,0.4788501027,MaleBiased,83.25571988780466,74.00179882148667,89.98966478006805
Male,0.4788501027,FemaleBiased,80.21020461242279,75.54423925307789,84.19211742470189
Male,0.9577002054,MaleBiased,69.31514894036593,54.7626623197498,80.98139810307272
Male,0.9577002054,FemaleBiased,64.3367692396673,57.06932085751283,70.88312704485426
Male,1.4365503081,MaleBiased,57.708826241605664,40.52535524590515,72.874889462659
Male,1.4365503081,FemaleBiased,51.60465424815944,43.11258431023537,59.67800670177442
Male,1.9154004108,MaleBiased,48.04589872625113,29.98949191266174,65.57986978331753
Male,1.9154004108,FemaleBiased,41.39219876198203,32.56907386390405,50.24417892660917
Male,2.3942505135,MaleBiased,40.000958861105936,22.19276352399374,59.015106237777815
Male,2.3942505135,FemaleBiased,33.20076732056652,24.604059106830082,42.30163974639389
Male,2.8731006162,MaleBiased,33.303086261838345,16.423044263311642,53.10749768676457
Male,2.8731006162,FemaleBiased,26.63040340072081,18.586949300833542,35.61464791896881
Male,3.3519507189,MaleBiased,27.72672421215008,12.153348218150997,47.79126066845562
Male,3.3519507189,FemaleBiased,21.36030105683177,14.041369470701506,29.984727925592033
Male,3.8308008216,MaleBiased,23.084083844131786,8.993696334773444,43.00719687328997
Male,3.8308008216,FemaleBiased,17.133141183514255,10.607445765890608,25.24477904364876
Male,4.3096509243,MaleBiased,19.21882018393633,6.655497098974614,38.70203394714906
Male,4.3096509243,FemaleBiased,13.742527599832062,8.013314224026741,21.254115651348044
Male,4.788501027,MaleBiased,16.0007670980789,4.925187599309708,34.82783228247773
Male,4.788501027,FemaleBiased,11.022909506743982,6.053597283098573,17.894291556131897
