GroupID,GroupSize,nfemales,nmales,SexRatiomf,CaptureStart,CompleteCapture,SessRef,CaptureStart2,WithinGroupRecruits,WithinGroupRecruitsF,WithinGroupRecruitsM,TimeToNextCap,QueenAge,QueenID
Kuruman 1,18,9,9,0.5,2013-11-17,1,133,2014-07-27,2,2,0,252,1824,KR1F007
Kuruman 10,4,1,3,0.75,2013-11-30,1,135,2014-07-27,2,1,1,239,1093,KR10F004
Kuruman 7,17,10,7,0.4117647058823529,2013-12-03,1,147,2014-08-06,0,0,0,246,1823,KR7F010
Kuruman 13,26,12,14,0.5384615384615384,2014-01-22,1,139,2014-08-05,5,2,3,195,1823,KR13F013
Lonely 13,10,5,5,0.5,2014-03-01,1,7,2014-09-16,3,1,2,199,1976,L13F009
Lonely 14,13,5,8,0.6153846153846154,2014-03-01,1,8,2014-09-16,0,0,0,199,1823,L14F011
Lonely 18,14,9,5,0.35714285714285715,2014-03-11,1,12,2014-09-30,0,0,0,203,1823,L18F002
Kuruman 1,10,7,3,0.3,2014-07-27,1,134,2015-02-16,0,0,0,204,2076,KR1F007
Kuruman 10,5,2,3,0.6,2014-07-27,1,136,2015-02-16,0,0,0,204,1332,KR10F004
Kuruman 13,21,10,11,0.5238095238095238,2014-08-05,1,140,2015-02-10,6,3,3,189,2018,KR13F013
Lonely 13,8,4,4,0.5,2014-09-16,1,38,2015-03-26,4,2,2,191,858,L13F008
Lonely 14,8,4,4,0.5,2014-09-16,1,39,2015-01-29,4,4,0,135,927,L14F013
Lonely 15,3,2,1,0.3333333333333333,2014-10-09,1,44,2015-03-23,0,0,0,165,1311,L15F002
Kuruman 13,23,10,13,0.5652173913043478,2015-02-10,1,81,2015-09-20,7,6,1,222,2207,KR13F013
Kuruman 1,10,7,3,0.3,2015-02-16,1,82,2015-10-14,0,0,0,240,2280,KR1F007
Kuruman 10,5,2,3,0.6,2015-02-16,1,84,2015-10-07,1,0,1,233,1536,KR10F004
Lonely 15,3,2,1,0.3333333333333333,2015-03-23,1,98,2016-02-24,4,2,2,338,1476,L15F002
Lonely 13,8,4,4,0.5,2015-03-26,1,101,2016-02-22,6,2,4,333,1049,L13F008
Kuruman 13,22,14,8,0.3636363636363637,2015-09-20,1,156,2016-04-12,7,1,6,205,2429,KR13F013
Kuruman 10,5,2,3,0.6,2015-10-07,1,160,2016-04-25,5,2,3,201,1769,KR10F004
Kuruman 1,7,5,2,0.2857142857142857,2015-10-14,1,166,2016-04-26,2,2,0,195,2520,KR1F007
Lonely 62,6,4,2,0.3333333333333333,2016-02-08,1,201,2016-09-09,0,0,0,214,1317,L14F004
